0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
MongoClusterType,CloudProvider,RAM,CPUs,datavolume,shardingtype,indextype,querytype,responsetime,usagecost,df_name,pricePerHr,pricePerS,Iops,Memory
flights-m10,Azure,2,1,100K,0,0,stringSearch,0.6661739349365234,2.2205797831217448e-05,,0.12,3.3333333333333335e-05,240,64
flights-m10,Azure,2,1,100K,0,1,stringSearch,0.2328813076019287,7.762710253397624e-06,,0.12,3.3333333333333335e-05,240,64
flights-m10,Azure,2,1,1M,0,0,stringSearch,0.7131147384643555,2.3770491282145185e-05,,0.12,3.3333333333333335e-05,240,64
flights-m10,Azure,2,1,1M,0,1,stringSearch,0.3957092761993408,1.3190309206644695e-05,,0.12,3.3333333333333335e-05,240,64
flights-m10,Azure,2,1,10M,0,0,stringSearch,20.94104480743408,0.0006980348269144693,,0.12,3.3333333333333335e-05,240,64
flights-m10,Azure,2,1,10M,0,1,stringSearch,11.574984312057495,0.00038583281040191654,,0.12,3.3333333333333335e-05,240,64
flights-m10,Azure,2,1,100M,0,0,stringSearch,245.43787145614624,0.008181262381871541,,0.12,3.3333333333333335e-05,240,64
flights-m10,Azure,2,1,100M,0,1,stringSearch,132.52852320671082,0.004417617440223694,,0.12,3.3333333333333335e-05,240,64
flights-m20,Azure,4,2,100K,0,0,stringSearch,1.314035415649414,0.00010220275455050999,,0.28,7.777777777777778e-05,240,64
flights-m20,Azure,4,2,100K,0,1,stringSearch,0.9545464515686036,7.424250178866918e-05,,0.28,7.777777777777778e-05,240,64
flights-m20,Azure,4,2,1M,0,0,stringSearch,1.434459924697876,0.00011156910525427925,,0.28,7.777777777777778e-05,240,64
flights-m20,Azure,4,2,1M,0,1,stringSearch,0.6696245670318604,5.20819107691447e-05,,0.28,7.777777777777778e-05,240,64
flights-m20,Azure,4,2,10M,0,0,stringSearch,17.510740280151367,0.0013619464662339954,,0.28,7.777777777777778e-05,240,64
flights-m20,Azure,4,2,10M,0,1,stringSearch,9.401794910430908,0.0007312507152557374,,0.28,7.777777777777778e-05,240,64
flights-m20,Azure,4,2,100M,0,0,stringSearch,233.67448019981384,0.018174681793318857,,0.28,7.777777777777778e-05,240,64
flights-m20,Azure,4,2,100M,0,1,stringSearch,133.48483800888062,0.010382154067357381,,0.28,7.777777777777778e-05,240,64
flights-m200,Azure,256,64,100K,0,0,stringSearch,1.5706021785736084,0.014331744879484179,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,100K,0,1,stringSearch,1.6374456882476809,0.01494169190526009,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,100K,1,1,stringSearch,1.7885892391204834,0.016320876806974412,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,0,0,stringSearch,2.3722927570343018,0.021647171407938006,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,0,1,stringSearch,1.6272962093353271,0.014849077910184862,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,1,1,stringSearch,1.6738569736480713,0.015273944884538652,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,0,0,stringSearch,13.012754201889038,0.11874138209223749,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,0,1,stringSearch,7.484893083572388,0.06829964938759804,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,1,1,stringSearch,1.6777231693267822,0.01530922392010689,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,100M,0,0,stringSearch,123.40938401222228,1.1261106291115284,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,100M,0,1,stringSearch,57.67315053939819,0.5262674986720086,,32.85,0.009125000000000001,1100,256
flights-m50,Azure,32,8,100K,0,0,stringSearch,0.453721284866333,0.0007360367510053846,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,100K,0,1,stringSearch,1.2407715320587158,0.002012807152006361,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,100K,1,1,stringSearch,0.426234483718872,0.0006914470513661701,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,0,0,stringSearch,0.8680720329284668,0.0014082057423061795,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,0,1,stringSearch,0.5177187919616699,0.0008398549291822646,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,1,1,stringSearch,0.7548403739929199,0.0012245188289218478,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,0,0,stringSearch,11.630261182785034,0.01886686814096239,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,0,1,stringSearch,5.834386110305786,0.00946467080116272,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,1,1,stringSearch,0.5185079574584961,0.000841135130988227,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,100M,0,0,stringSearch,153.06555128097534,0.24830633874469332,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,100M,0,1,stringSearch,85.33142709732056,0.1384265372912089,,5.84,0.0016222222222222222,500,32
flights-m80,Azure,128,32,100K,0,0,stringSearch,1.2524316310882568,0.006864021133714252,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,100K,0,1,stringSearch,1.0812230110168457,0.005925702779822879,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,100K,1,1,stringSearch,1.191118240356445,0.006527989689509073,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,0,0,stringSearch,1.633739948272705,0.00895380254983902,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,0,1,stringSearch,1.1808841228485107,0.0064719010399447545,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,1,1,stringSearch,1.1304340362548828,0.006195406537585788,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,10M,0,0,stringSearch,12.48935580253601,0.06844860832889875,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,10M,0,1,stringSearch,6.478681564331055,0.03550677424006992,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,10M,1,1,stringSearch,1.1899797916412354,0.006521750358078214,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,100M,0,0,stringSearch,115.62390327453612,0.6336832254462771,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,100M,0,1,stringSearch,54.658610105514526,0.29955954927272266,,19.73,0.005480555555555555,1100,256
